artifact_type,case_id,path,exists,size_bytes,rows,sha256,notes
local_synthetic_mask,207_3_1194,rivanna_pull/analysis/synthetic_lollipop_v1/masks/207_3_1194_synthetic_lollipop.nii.gz,True,5366,,6ca76be381565b9f148f11fc6a2c6403d59ee37027aecde93e3110bbef048546,mask_voxels=92; mask_volume_mm3=92; manifest_realized=92; in_pulled_features=True; shape=106x106x106; spacing=1x1x1
local_synthetic_mask,207_4_1986,rivanna_pull/analysis/synthetic_lollipop_v1/masks/207_4_1986_synthetic_lollipop.nii.gz,True,4157,,a83b8e54ab763b315b53d1427bef958eefb5022db6ac234b0dbe927e360d03dc,mask_voxels=65; mask_volume_mm3=65; manifest_realized=65; in_pulled_features=True; shape=97x97x97; spacing=1x1x1
local_synthetic_mask,210_1_162,rivanna_pull/analysis/synthetic_lollipop_v1/masks/210_1_162_synthetic_lollipop.nii.gz,True,11522,,8f3e1743390c881edd0a19303785f471050faefc45174ad9953d24696b09d322,mask_voxels=374; mask_volume_mm3=374; manifest_realized=374; in_pulled_features=True; shape=137x137x137; spacing=1x1x1
local_synthetic_mask,218_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/218_0_0_synthetic_lollipop.nii.gz,True,5676,,ce060f985a55f08d4ec47433a240330bfe3c6af1f61d33471020d7bb7a83f3ea,mask_voxels=92; mask_volume_mm3=92; manifest_realized=92; in_pulled_features=True; shape=108x108x108; spacing=1x1x1
local_synthetic_mask,218_1_199,rivanna_pull/analysis/synthetic_lollipop_v1/masks/218_1_199_synthetic_lollipop.nii.gz,True,8767,,ef6bea25fbe257d2b1e2d500fe8ef1301e8407f74925571ca1d2bca805918a49,mask_voxels=193; mask_volume_mm3=193; manifest_realized=193; in_pulled_features=True; shape=125x125x125; spacing=1x1x1
local_synthetic_mask,235_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/235_0_0_synthetic_lollipop.nii.gz,True,1619,,99ebd191795ba1a0133a80bd86bbfe9e1e2598c414ead35cc9c6b47111032996,mask_voxels=9; mask_volume_mm3=9; manifest_realized=9; in_pulled_features=True; shape=70x70x70; spacing=1x1x1
local_synthetic_mask,235_1_328,rivanna_pull/analysis/synthetic_lollipop_v1/masks/235_1_328_synthetic_lollipop.nii.gz,True,7742,,c9d10267e8db51cf5c151f22ddbb4226a0906022a7b8efb019641ee918a93031,mask_voxels=175; mask_volume_mm3=175; manifest_realized=175; in_pulled_features=True; shape=120x120x120; spacing=1x1x1
local_synthetic_mask,235_3_552,rivanna_pull/analysis/synthetic_lollipop_v1/masks/235_3_552_synthetic_lollipop.nii.gz,True,7193,,167e70b4d25206caeb1ddacb15344bfd7bef18756fb5dbf6d0dbc0b614cd7262,mask_voxels=128; mask_volume_mm3=128; manifest_realized=128; in_pulled_features=True; shape=117x117x117; spacing=1x1x1
local_synthetic_mask,270_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/270_0_0_synthetic_lollipop.nii.gz,True,8572,,59f14308ad4743669384b7b374e4da9c47ea16c1c225f06a73c389f02a17fa7c,mask_voxels=239; mask_volume_mm3=239; manifest_realized=239; in_pulled_features=True; shape=124x124x124; spacing=1x1x1
local_synthetic_mask,270_1_324,rivanna_pull/analysis/synthetic_lollipop_v1/masks/270_1_324_synthetic_lollipop.nii.gz,True,6476,,c6eb18fabbc2160a2db18f3f0ca707bf7b3412e84a94c896c0e24b8e54cefdcb,mask_voxels=104; mask_volume_mm3=104; manifest_realized=104; in_pulled_features=True; shape=113x113x113; spacing=1x1x1
